1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1500,712,1994.0,2622,Gd,8,1463,1994,1995,325000
2158,576,1950.0,2158,Gd,6,1202,1950,2001,243000
1360,572,1962.0,1360,TA,5,384,1955,1955,130000
1310,400,2005.0,1310,Gd,7,1310,2005,2005,164990
1836,862,2004.0,1836,Gd,8,1836,2004,2005,280000
1490,810,1995.0,2794,Ex,8,1462,1995,1996,403000
1728,352,2002.0,1728,TA,5,1728,1964,1964,119000
825,720,1963.0,825,TA,5,825,1955,1995,125000
894,308,1976.0,894,TA,5,894,1976,1976,128200
918,440,1978.0,1683,TA,6,918,1978,1978,172500
930,308,1946.0,930,Gd,4,0,1946,2006,84900
1572,726,2003.0,2668,Ex,9,1572,2003,2004,412500
1073,515,1965.0,1073,TA,5,1073,1965,1965,156000
1334,630,1977.0,1334,TA,6,1350,1977,1977,167900
788,0,1980.0,788,TA,4,788,1941,1950,100000
1644,569,1989.0,1644,Gd,7,1518,1989,1989,275000
872,480,1974.0,872,TA,4,858,1971,1971,123000
768,360,1910.0,1432,TA,5,264,1910,2002,132000
901,800,2005.0,1801,Gd,8,893,2005,2005,239900
1121,480,1963.0,1121,TA,5,1121,1963,1963,139000
789,250,1948.0,789,TA,5,789,1948,1950,115000
1054,480,1963.0,1054,Gd,6,936,1963,1963,137500
1048,286,1956.0,1048,TA,5,1048,1956,1956,135000
1236,447,1957.0,1236,Gd,5,1070,1957,1996,134450
1152,484,1964.0,1152,TA,5,1152,1964,1964,180500
1679,575,1994.0,1679,Gd,6,1408,1994,1998,193500
1478,442,1957.0,1478,TA,6,1478,1957,1957,156500
928,252,1956.0,928,TA,5,928,1956,2000,132000
846,650,2009.0,1692,Gd,7,846,2009,2009,224500
661,552,1985.0,1250,TA,5,661,1910,2003,139000
847,433,2003.0,1733,Gd,7,847,2003,2003,225000
716,432,2004.0,1432,Gd,7,716,2004,2005,188500
1077,205,1939.0,1077,TA,5,991,1939,1950,118000
944,528,1956.0,944,Fa,3,0,1952,1952,82000
1419,567,2007.0,1419,Gd,8,1419,2007,2007,392000
960,288,1956.0,960,TA,4,672,1956,1956,112000
1646,870,2007.0,1646,Gd,8,1638,2006,2007,248900
999,300,1962.0,999,TA,5,925,1962,1962,134500
779,308,1988.0,935,TA,5,742,1930,1960,79500
1392,576,2006.0,2462,Gd,7,1392,2005,2006,320000
1302,309,1964.0,1302,Gd,6,1302,1964,1991,158000
936,672,1980.0,936,TA,5,936,1980,1980,140000
864,336,1978.0,864,TA,5,864,1978,2005,136500
820,0,1980.0,1347,TA,5,1117,1910,1991,107500
990,672,1996.0,990,TA,5,990,1994,1995,145000
1636,0,1980.0,3086,Ex,5,1598,1946,1994,200500
1337,531,2003.0,1337,Gd,7,1337,2003,2003,185000
694,936,1998.0,1214,TA,3,672,1915,1950,105000
1368,474,2005.0,1368,Gd,7,1368,2005,2006,202665
1212,460,2009.0,1212,Gd,6,1212,2009,2009,186000
1080,288,1958.0,1080,TA,6,1080,1958,1958,136000
804,523,1998.0,1682,Gd,6,804,1998,1998,200500
790,566,1976.0,1574,TA,6,796,1976,1976,190000
691,409,1995.0,1498,TA,6,691,1995,1996,187500
920,492,2002.0,1861,Gd,7,916,2002,2002,200000
1258,648,2007.0,1258,Gd,7,1258,2006,2007,172500
1253,352,1960.0,1253,TA,6,1253,1960,1960,157000
1484,606,2004.0,1484,Gd,7,1473,2004,2005,213000
1163,396,1955.0,1674,TA,6,1163,1918,1950,185000
864,463,1994.0,864,TA,4,864,1970,1970,124500
1128,360,1930.0,1573,TA,5,1078,1930,1992,162900
1734,660,2005.0,1734,Gd,7,1734,2005,2005,260000
495,672,2003.0,1922,Gd,7,0,2003,2003,198500
1340,252,1957.0,1340,TA,5,0,1957,2006,120000
698,440,1977.0,1426,TA,6,690,1977,1977,159500
720,484,2005.0,720,TA,6,624,1928,2003,105900
1301,462,1991.0,2417,Gd,8,1288,1991,1992,260000
796,480,1993.0,1362,TA,5,796,1993,1995,143000
951,327,1936.0,951,TA,4,951,1936,1950,106500
783,393,2005.0,1484,Gd,6,783,2005,2007,178900
773,0,1980.0,1355,Gd,6,684,1914,2006,127000
694,352,1990.0,694,Gd,5,440,1913,2002,90350
1029,261,1961.0,1029,TA,4,1029,1961,1961,118500
1097,495,1971.0,1993,TA,6,825,1971,1971,190000
793,410,1939.0,1118,TA,5,793,1939,1950,119900
713,506,1999.0,1452,Gd,7,691,1999,1999,183900
804,440,1976.0,1548,Gd,6,804,1976,1976,155000
2392,968,2003.0,2392,Ex,10,2392,2003,2003,386250
1040,308,1963.0,1040,TA,5,1040,1963,1963,133000
1182,509,1968.0,2142,Gd,6,896,1968,1968,193500
1088,1025,2006.0,1959,Gd,8,1088,2006,2006,270000
1080,0,1980.0,1080,Gd,7,1080,2004,2005,141000
703,540,2007.0,1392,Gd,7,689,2007,2007,146000
988,572,1963.0,988,TA,5,988,1961,1961,128500
1098,486,1968.0,1978,TA,7,832,1968,1968,176000
1588,472,1999.0,1588,Gd,7,1588,1999,1999,214000
1478,484,2009.0,1478,Gd,7,1470,2009,2009,222000
2121,732,2007.0,2121,Ex,9,2121,2006,2007,415298
1301,572,2006.0,1301,Gd,7,1293,2006,2006,187750
1241,569,2007.0,1241,Gd,7,1241,2006,2007,199900
1523,478,1976.0,1523,TA,6,1193,1976,1976,180000
1344,784,1997.0,1344,TA,7,1344,1997,1998,206300
1240,826,2006.0,1240,Gd,7,1240,2006,2006,194000
1120,528,1979.0,2240,TA,5,0,1979,1979,142953
1440,467,1981.0,1440,Gd,6,1440,1981,1981,182900
864,280,1972.0,864,TA,4,864,1970,1970,116050
1680,583,1998.0,1680,Gd,7,1650,1998,1999,213250
944,240,1940.0,1489,TA,6,778,1940,1950,139500
1349,539,2000.0,1349,TA,7,1349,2000,2001,179000
901,281,1954.0,901,TA,4,901,1954,2000,107900
810,484,1992.0,1603,Gd,6,761,1992,1992,175900
1152,300,1950.0,1152,Gd,6,1092,1950,2004,158500
1072,525,2005.0,1072,TA,5,547,2005,2005,145000
2259,450,1953.0,2259,Gd,6,1809,1953,1953,217000
1040,484,1977.0,1040,Gd,5,1040,1977,2008,150500
1258,400,1969.0,1258,TA,4,1198,1969,1969,108959
697,420,1993.0,1501,Gd,6,697,1993,1994,165600
1466,610,2007.0,1466,Gd,8,1466,2007,2007,201000
1053,312,1959.0,1053,Gd,5,1053,1959,2006,145500
1752,576,2005.0,1752,Ex,9,1752,2005,2005,319900
1494,514,1998.0,1494,Gd,7,1482,1998,1998,215000
1425,576,1964.0,1425,TA,6,1425,1964,1964,180500
1702,1052,2008.0,1702,Ex,9,1702,2008,2008,367294
1800,702,2007.0,1800,Ex,9,1800,2007,2007,239000
1272,0,1980.0,2200,TA,5,1272,1900,2003,145900
833,228,1925.0,1666,Gd,8,588,1925,1996,161000
1392,564,1978.0,2784,Gd,7,1392,1978,1978,250000
1131,672,1995.0,1131,TA,4,907,1937,2000,89471
792,400,1931.0,1517,Gd,8,792,1929,1950,230000
1120,0,1980.0,1120,TA,5,1120,2007,2007,147000
812,392,1992.0,1482,Gd,7,384,1992,1992,163900
864,576,1989.0,864,TA,4,864,1971,1971,97000
1188,531,1959.0,1188,TA,5,1188,1959,1959,142000
778,614,2006.0,1576,Gd,7,770,2006,2006,197000
960,576,1970.0,960,TA,4,960,1970,1970,129000
1574,824,2006.0,1574,Gd,8,1574,2006,2006,232000
997,0,1980.0,1517,Fa,5,793,1919,2005,115000
1464,480,1997.0,1464,TA,5,520,1963,1999,175000
1277,889,1996.0,2344,Gd,7,1264,1996,1997,265000
1358,484,2004.0,1358,Gd,7,1358,2004,2004,207000
948,463,2000.0,1690,TA,6,924,2000,2000,181000
1382,884,1991.0,1382,TA,6,1362,1962,1962,176000
888,476,1980.0,1564,TA,6,650,1980,1981,171000
1306,624,2005.0,1306,Gd,6,1306,2005,2005,196000
1137,551,1987.0,1137,Gd,6,1112,1987,1987,176000
988,520,1954.0,988,TA,5,988,1954,1954,113000
576,288,1971.0,1109,TA,5,372,1971,2005,139000
1134,254,1960.0,1134,TA,5,1010,1960,2002,135000
1548,624,1974.0,2614,TA,6,1522,1974,1997,240000
865,398,1924.0,1310,TA,6,617,1924,1950,112000
1080,484,1983.0,1080,TA,6,1084,1983,1983,134000
1496,612,1983.0,2132,Gd,8,1496,1983,2009,316600
1222,487,1968.0,1920,Gd,7,570,1968,1992,170000
734,440,1990.0,1118,TA,6,648,1920,1950,116000
1704,772,2008.0,1704,Gd,8,1704,2007,2008,306000
861,539,1961.0,861,TA,4,861,1940,1950,82500
1041,539,1968.0,1743,TA,6,702,1968,1968,175000
483,280,1987.0,987,TA,6,483,1970,1970,106000
1220,632,2006.0,1220,Gd,7,1199,2006,2006,194000
1402,648,2006.0,1402,Gd,7,1258,2006,2007,194201
848,420,2004.0,848,Gd,6,848,2004,2004,155900
990,480,2000.0,990,TA,5,990,1994,1995,138000
1357,312,1959.0,1357,Ex,6,1019,1959,2006,177000
1535,532,2004.0,1535,Gd,7,1517,2004,2004,214000
914,576,1998.0,914,TA,5,870,1996,1996,148000
936,576,1986.0,1252,TA,5,504,1908,1991,127000
1003,588,1984.0,1003,TA,6,1003,1984,1984,142500
630,286,1970.0,630,TA,4,630,1970,1970,80000
1138,264,1958.0,1138,TA,6,588,1958,1958,145000
858,490,1962.0,1716,TA,6,858,1962,1962,171000
765,440,1971.0,1365,TA,5,765,1971,1971,122500
1339,294,1958.0,1339,TA,5,1029,1958,1965,139000
1228,472,1988.0,1228,Gd,8,1228,1988,1989,189000
778,924,1966.0,778,TA,5,740,1940,1955,120500
1040,0,1980.0,1040,TA,5,1040,1978,1978,124000
948,0,1980.0,1928,TA,5,686,1916,1995,160000
1338,968,1969.0,2634,TA,5,1248,1969,1969,200000
1251,461,1964.0,1251,TA,6,1251,1964,1964,160000
1476,736,2000.0,2153,Ex,9,1440,2000,2000,313000
1787,748,2001.0,1787,Gd,8,1753,2001,2002,275000
864,0,1980.0,864,TA,3,864,1914,1950,67000
1114,576,2004.0,1114,Gd,5,1114,2004,2004,159000
1652,499,2000.0,1652,Ex,8,1494,2000,2000,251000
1040,400,1987.0,1040,TA,3,0,1950,1950,92900
784,0,1980.0,784,Gd,5,784,1924,1950,109500
1842,894,1981.0,1842,Gd,9,1842,1981,1987,385000
1465,596,1965.0,2380,TA,6,1021,1965,1979,129000
1411,544,1977.0,1411,TA,7,1386,1977,1977,82500
1553,576,1987.0,2730,Gd,7,1502,1986,1987,301000
1656,826,2006.0,1656,Gd,8,1656,2006,2006,249700
630,0,1980.0,630,TA,4,630,1972,1972,81000
1472,588,1980.0,1472,TA,7,1372,1980,1980,187500
1392,576,1968.0,1392,TA,6,1392,1968,1968,110000
1001,255,1950.0,1635,Gd,6,485,1910,2003,117000
864,288,1972.0,864,TA,5,864,1972,1972,128500
1506,440,2005.0,1506,Gd,7,1362,2005,2005,213490
1006,871,2003.0,2046,Gd,7,998,2003,2004,284000
1454,504,2000.0,1936,Gd,8,1406,2000,2000,230500
1888,578,1966.0,1888,Gd,6,1517,1966,2002,190000
1236,288,1961.0,1236,TA,5,912,1961,1994,135000
1370,479,1976.0,1370,TA,7,1090,1976,1976,152000
1040,400,1949.0,1040,TA,3,0,1949,1950,87500
575,576,1971.0,1135,Gd,7,560,1936,2007,155000
864,0,1980.0,864,TA,4,864,1971,1971,115000
1099,352,1999.0,1099,Gd,5,1099,1995,2006,144000
979,467,1994.0,1850,Gd,7,973,1994,1994,248000
825,280,1939.0,1412,TA,6,780,1939,1950,132500
896,0,1980.0,1792,TA,5,896,1974,1974,136000
833,326,1955.0,833,Gd,5,833,1954,2000,117000
1152,0,1980.0,1152,Fa,4,0,1955,1955,82000
1478,498,1960.0,1478,TA,6,1478,1960,1960,157500
720,240,1948.0,1284,TA,5,720,1947,1950,110000
892,502,1999.0,1675,TA,6,841,1999,1999,181000
936,474,2002.0,1776,Gd,7,936,2002,2002,192500
920,608,2001.0,1786,Gd,7,920,2001,2002,223500
1262,460,1976.0,1262,TA,6,1262,1976,1976,181500
1088,461,1987.0,1088,Gd,8,1074,1986,1986,170000
1360,565,1984.0,1360,Gd,8,1220,1984,1984,187500
770,520,2004.0,1582,Gd,7,770,2004,2004,185900
976,256,1940.0,1308,TA,5,728,1940,1950,160000
1431,666,1999.0,1431,Gd,7,1431,1999,1999,192000
1429,572,1960.0,1429,Gd,6,1144,1960,1987,181900
1095,1053,2006.0,1939,Gd,8,1095,2006,2006,266000
864,0,1980.0,864,TA,5,864,1922,1950,99900
1426,641,2006.0,2945,Gd,10,1410,2006,2006,438780
1314,552,2009.0,1314,Gd,8,1300,2009,2009,229456
1836,484,2004.0,1836,Gd,7,1860,2004,2005,216837
866,0,1980.0,866,Gd,5,686,1945,1997,110500
1569,660,2007.0,1569,Gd,7,1386,2007,2007,175900
1690,841,2003.0,3279,Ex,8,1650,2003,2003,538000
4692,1418,2008.0,5642,Ex,10,6110,2008,2008,160000
983,480,1999.0,1739,Gd,8,970,1999,2000,172500
755,296,1940.0,1510,TA,4,755,1940,1950,108000
1050,352,1954.0,1795,TA,5,1050,1954,1954,131500
694,0,1980.0,1294,TA,4,0,1900,2000,106250
2084,1220,2007.0,2084,Ex,10,2078,2007,2008,385000
1766,478,2009.0,1766,Ex,9,1766,2009,2009,370878
2000,538,1972.0,2704,Ex,8,1952,1972,1995,345000
520,240,1920.0,520,Fa,4,520,1927,1950,68500
1020,180,1936.0,2057,Gd,7,1017,1936,1987,250000
1694,776,2008.0,1694,Gd,8,1694,2008,2008,245350
842,250,1925.0,1472,Gd,5,702,1925,1994,125000
1276,282,1926.0,2080,Gd,7,1276,1926,2004,234000
988,240,1940.0,1505,TA,5,883,1940,1982,145000
1586,435,1979.0,1586,TA,6,1362,1979,1998,181000
929,0,1980.0,2229,TA,6,755,1912,1950,104000
956,618,2004.0,2084,Gd,7,956,2004,2004,233000
1080,492,1988.0,1752,TA,8,559,1988,2005,164000
960,240,1940.0,1740,TA,7,800,1940,1984,219500
847,434,2004.0,1948,Gd,7,847,2004,2005,195000
897,570,1994.0,1336,TA,4,637,1920,1950,108000
894,552,1975.0,894,TA,5,894,1972,1972,149900
1980,770,2004.0,1980,Ex,9,1980,2004,2005,315000
753,213,1942.0,1494,Gd,6,771,1942,1950,177500
1048,288,1962.0,1558,TA,5,913,1945,1950,140000
1294,662,2006.0,1294,Gd,7,1286,2006,2006,193879
2136,528,1951.0,2136,TA,5,2136,1951,1951,137900
672,264,1972.0,1218,TA,6,672,1972,1972,118000
1719,473,1993.0,1719,Gd,8,1719,1993,1993,324000
2402,672,2008.0,2402,Ex,10,3094,2008,2008,555000
1664,216,1916.0,2526,Gd,6,714,1916,1950,136000
708,0,1980.0,708,Fa,4,420,1940,1950,82500
581,288,1935.0,1111,Fa,5,530,1920,1996,101000
