1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1640,924,1993.0,1640,Gd,6,1296,1954,2006,224000
1148,672,1959.0,1148,TA,5,1148,1959,1959,132500
950,280,1981.0,950,TA,5,950,1971,1971,119500
1065,471,1993.0,1911,Gd,8,777,1993,1994,215000
915,440,1950.0,1635,TA,6,1065,1923,1950,210000
1316,440,2007.0,1316,Gd,7,1316,2007,2007,200141
1442,615,1970.0,1442,TA,6,1442,1970,1970,185000
1078,500,1971.0,1078,TA,5,1078,1971,2008,149900
1120,544,1961.0,1120,Fa,4,1040,1961,1961,129000
779,527,2002.0,1419,Gd,8,408,2002,2002,184100
707,240,1947.0,1389,TA,7,651,1946,1992,135000
1063,280,1954.0,1063,TA,5,1056,1954,1954,128000
1792,874,2003.0,1792,Ex,9,1792,2003,2004,374000
1216,402,1998.0,1216,TA,6,1216,1998,1998,164000
998,576,1989.0,1762,Gd,7,596,1920,1950,157000
847,434,2004.0,1959,Gd,7,847,2004,2005,215000
1208,546,1977.0,1208,TA,6,1208,1977,1977,165000
874,315,1958.0,1524,TA,5,874,1958,1958,144000
796,240,1922.0,1154,Gd,4,796,1922,2007,125500
1048,420,1950.0,1048,TA,5,0,1950,1950,98300
886,273,1938.0,886,TA,5,190,1938,1996,91300
943,600,1979.0,943,TA,5,943,1979,1979,135960
866,603,2005.0,1768,Gd,7,866,2005,2005,226700
1422,779,1999.0,2599,Gd,9,1393,1999,1999,333168
912,275,1958.0,912,TA,5,912,1958,1958,114500
882,308,1956.0,882,TA,5,0,1956,1956,97000
1337,511,1998.0,1337,Gd,6,1405,1998,1999,181000
2076,850,2006.0,2076,Ex,10,2076,2006,2006,465000
1328,752,1995.0,2531,Gd,8,1318,1995,1995,290000
981,240,1939.0,1768,Gd,5,731,1937,1950,175000
1625,538,2006.0,1625,Gd,8,1573,2006,2007,235000
1444,389,1958.0,2144,Gd,6,1444,1958,2006,277000
1521,880,1988.0,2775,Gd,10,1237,1893,2000,325000
1140,477,1984.0,1868,TA,6,585,1984,2003,178000
1525,541,2000.0,1525,Gd,7,1525,2000,2000,235000
1571,722,2007.0,1571,Gd,8,1571,2007,2007,239000
796,0,1980.0,796,TA,5,796,1910,1950,85000
1378,432,1985.0,2372,TA,5,994,1892,1965,107500
802,402,1991.0,1472,Gd,7,384,1991,1992,160000
960,364,1965.0,960,TA,4,648,1965,2001,145000
734,372,2005.0,1838,TA,5,732,2005,2005,192140
1309,484,1974.0,1309,Gd,6,1040,1974,1999,181000
2069,694,2006.0,2643,Ex,9,2153,2006,2006,380000
676,200,1941.0,1131,TA,5,676,1941,1950,66500
960,400,1952.0,1960,TA,5,960,1952,1952,124500
1144,336,1962.0,1144,TA,5,1144,1963,1963,124000
1056,576,1980.0,1056,TA,6,1056,1980,1980,144000
693,0,1980.0,693,Fa,4,693,1941,1950,52500
1494,576,1997.0,1494,Gd,6,1479,1997,1997,217000
1646,482,2004.0,1646,Gd,8,1594,2004,2005,275000
864,352,1989.0,864,TA,5,864,1972,1972,127000
1566,750,2008.0,1566,Gd,8,1566,2008,2008,262500
735,497,1972.0,1395,TA,6,723,1972,1972,162000
848,539,1962.0,1208,TA,4,780,1925,1950,103000
939,180,1933.0,1513,TA,5,939,1920,2004,137500
959,560,1978.0,1367,TA,6,884,1931,1950,127500
955,386,1966.0,955,TA,5,955,1966,1966,127000
1077,210,1922.0,1077,TA,3,1007,1922,1950,91000
1056,572,1955.0,1056,TA,5,1056,1955,1955,145000
756,615,2005.0,1553,Gd,7,756,2005,2006,186500
1614,865,2005.0,1614,Gd,7,1614,2005,2006,221500
2042,1390,2009.0,2042,Ex,8,2042,2008,2009,253293
1073,326,1968.0,1073,TA,5,1073,1921,1968,108480
1072,240,1948.0,1285,TA,5,672,1948,2001,127000
2117,550,1970.0,2117,TA,6,1205,1970,1970,237500
605,0,1980.0,605,TA,4,528,1920,2002,86000
1150,300,1959.0,1150,TA,5,1150,1959,1959,141000
728,400,2005.0,1456,Gd,6,728,2005,2005,176000
999,588,1961.0,999,Ex,7,944,1961,2007,178400
750,564,2005.0,1500,Gd,6,750,2005,2006,173900
1336,375,1953.0,1336,TA,5,1165,1953,1953,157000
864,398,2004.0,1593,TA,6,839,2004,2004,193000
1130,836,2008.0,2184,Ex,9,1104,2008,2008,335000
1560,573,2003.0,1560,Gd,7,1560,2003,2003,201000
888,312,1942.0,1644,Gd,5,728,1942,1995,146500
630,286,1970.0,630,Gd,4,630,1970,2002,86000
1113,504,1987.0,1113,TA,6,1143,1976,1976,148000
1071,947,2006.0,2172,Gd,7,1063,2006,2006,280000
796,384,1950.0,1346,TA,4,560,1910,2000,112000
1184,550,2007.0,2610,Ex,8,1184,2007,2007,303477
1026,936,2005.0,1958,Gd,7,1026,2005,2005,250000
1468,898,2008.0,1468,Gd,8,1468,2008,2009,244600
1302,539,1977.0,1734,Gd,5,0,1977,1977,126000
768,240,1946.0,1200,TA,5,768,1946,1995,130500
1112,438,2007.0,1550,Gd,7,1092,2006,2007,241000
954,440,1997.0,2230,TA,4,795,1912,1950,118500
1166,240,1936.0,1639,TA,6,1064,1936,1950,115000
864,624,1964.0,864,TA,5,864,1958,1958,129900
1621,440,1984.0,1621,Gd,7,1208,1984,1998,202500
483,264,1972.0,987,Gd,6,483,1972,2007,118000
1238,628,1989.0,2519,Gd,7,1210,1989,1990,335000
765,440,1970.0,1365,TA,5,765,1970,1970,125000
1149,779,2002.0,2290,Gd,8,1128,2002,2002,255900
1249,840,2006.0,2596,Gd,9,1249,2006,2006,342643
907,352,1964.0,907,TA,4,907,1957,1957,109008
855,440,1976.0,1456,TA,6,855,1976,1976,148500
1190,540,1962.0,1190,TA,5,1106,1962,1962,132500
858,684,1979.0,858,TA,4,858,1971,1971,110000
2223,516,1973.0,2223,TA,7,2223,1973,1973,244000
1005,672,1977.0,1005,Fa,4,1005,1955,1955,115000
1086,409,1994.0,1895,Gd,7,712,1994,1996,194500
1040,384,1965.0,1040,TA,5,1040,1965,1965,129500
1264,461,1960.0,1264,TA,5,1268,1960,1960,167500
874,578,2007.0,1761,Gd,7,874,2007,2007,227875
1034,888,1976.0,1034,TA,6,1012,1976,1976,169900
1363,439,1954.0,1363,TA,7,1385,1954,2005,241500
1689,480,1956.0,1689,TA,6,1436,1956,1956,127500
2113,839,1995.0,2113,Gd,8,2109,1995,1995,350000
1573,544,2002.0,1573,Gd,7,1573,2002,2002,227000
2364,820,2009.0,2364,Ex,9,2330,2009,2010,611657
1057,645,1998.0,2034,Gd,7,1057,1997,1998,219500
1291,431,1996.0,1291,Gd,6,1291,1996,1997,173000
858,0,1980.0,858,TA,5,858,1958,2008,116500
698,280,1939.0,1258,TA,6,560,1939,1950,105000
438,246,1930.0,438,Fa,2,290,1920,1950,60000
672,440,1978.0,1400,TA,6,672,1978,1978,149500
954,240,1938.0,954,Fa,5,920,1938,1950,119750
1445,645,1964.0,1445,TA,6,1127,1964,1964,158000
1072,525,2005.0,1072,TA,6,547,2005,2005,148000
1664,0,1980.0,1664,TA,5,0,1965,1965,100000
1445,441,1930.0,2134,Gd,6,844,1916,1994,214500
1940,380,1934.0,3194,TA,8,965,1934,1998,359100
912,0,1980.0,1824,TA,6,912,1971,1971,139000
888,422,1996.0,1756,TA,6,872,1996,1997,204000
912,576,1992.0,912,Gd,5,912,1965,2008,147000
1509,600,1988.0,1509,Gd,6,1461,1988,1989,175000
1160,216,1925.0,1608,Gd,6,976,1925,1990,137450
1316,397,2005.0,1316,Gd,6,1316,2005,2006,169990
1015,450,1925.0,1015,TA,5,768,1925,1950,88000
756,240,1940.0,1134,TA,5,756,1940,1950,126000
1636,865,2006.0,1636,Gd,8,1623,2006,2006,255000
660,400,2003.0,1320,Gd,7,660,2003,2003,162000
1160,538,1967.0,2126,TA,5,1013,1967,1967,185000
1128,525,1963.0,1128,TA,5,1120,1963,1963,155000
1306,756,1968.0,1306,TA,5,992,1957,2000,153000
798,0,1980.0,1344,TA,4,546,1970,2008,97000
1576,704,1996.0,2554,TA,7,718,1890,1998,159500
893,576,1985.0,893,Gd,5,845,1949,2003,135000
894,668,2007.0,1933,Gd,6,894,2007,2007,214000
672,264,1973.0,1218,TA,6,672,1973,1973,113000
1161,534,1977.0,1969,TA,7,808,1977,1977,190000
1220,556,1995.0,2090,Gd,8,1220,1995,1996,240000
1484,487,1971.0,1484,TA,5,1484,1971,1971,175000
1656,506,1973.0,1656,TA,5,1656,1973,1973,135000
818,210,1926.0,1224,TA,6,818,1926,2004,115000
1022,390,2000.0,2054,Gd,6,992,2000,2000,244000
854,576,1991.0,854,TA,7,832,1929,2001,132000
546,286,1973.0,1092,TA,4,546,1973,1973,83500
1268,252,1978.0,1268,Gd,5,1268,1977,1989,143500
827,550,1996.0,1661,Gd,7,799,1996,1996,212000
1668,502,2003.0,1668,Gd,8,1657,2003,2003,232000
1493,508,1997.0,1493,Gd,6,1478,1997,1998,208900
932,306,1950.0,932,Gd,6,932,1950,1950,124000
1277,526,1970.0,1277,TA,7,1277,1970,1970,167000
1530,630,2004.0,1530,Gd,7,1530,2004,2004,259000
1344,484,1970.0,1344,TA,5,1024,1958,1983,144000
860,528,1996.0,860,TA,5,840,1982,1982,137000
1314,626,2008.0,1314,Gd,7,1314,2007,2008,230000
1391,868,2006.0,1962,Gd,7,1391,2006,2006,239799
788,388,2004.0,1490,Gd,7,788,2004,2005,184000
848,420,2004.0,848,Gd,6,848,2004,2004,143000
672,240,1940.0,672,TA,5,672,1940,1997,108000
1188,252,1941.0,2340,Gd,7,1152,1941,2006,266500
808,180,1916.0,1656,TA,5,660,1916,1987,135000
725,484,1972.0,1479,Gd,7,725,1972,2004,184000
1226,740,2009.0,1226,Gd,7,1226,2009,2009,198900
976,444,1966.0,2087,Gd,6,832,1966,2007,187500
1158,576,2006.0,1158,Gd,6,1158,2004,2004,158000
1154,480,1966.0,1154,TA,5,1154,1966,1966,154000
880,527,1998.0,1724,Gd,7,880,1998,1999,188000
773,431,1995.0,1658,TA,6,773,1995,1996,188000
1126,520,2002.0,1126,Gd,4,0,1949,2003,108000
872,300,1955.0,1393,TA,5,816,1955,1955,135500
1968,1014,1982.0,3447,Gd,8,728,1935,1997,381000
483,264,1973.0,987,TA,6,483,1973,1973,83000
808,0,1980.0,1355,TA,5,644,1940,1999,127500
2069,505,1960.0,2069,Gd,7,585,1960,2007,242000
757,440,1999.0,1501,TA,7,744,1999,1999,179400
1976,908,2006.0,1976,Gd,8,1976,2006,2007,440000
1563,758,2007.0,1563,Gd,8,1563,2007,2007,245000
572,288,1982.0,1111,TA,7,572,1926,1950,116900
851,270,1931.0,1502,TA,7,776,1931,2000,149000
1733,452,1955.0,1733,TA,3,0,1955,1955,139600
1848,706,2006.0,2728,Ex,9,1848,2005,2006,437154
630,264,1972.0,1302,TA,5,630,1972,1972,119500
1332,586,1979.0,1524,Gd,7,1332,1979,1979,260000
1120,680,1991.0,1588,TA,4,0,1959,1959,134432
1125,430,2007.0,1125,TA,5,1125,2006,2007,155000
520,480,2005.0,1200,Gd,7,600,2005,2005,151000
798,520,2004.0,1640,Gd,6,798,2004,2004,173000
1223,525,1994.0,2127,Gd,7,1223,1994,1994,271000
972,240,1948.0,972,TA,6,972,1948,2002,132000
1142,466,1995.0,2020,Gd,8,1128,1995,1995,239500
1144,596,1956.0,1144,TA,5,1144,1956,1956,129000
1352,288,1958.0,1352,Gd,5,1062,1958,1958,130000
926,484,1974.0,1316,TA,5,926,1929,2001,130000
1086,592,1998.0,1924,Gd,8,1086,1998,1998,280000
1164,240,1950.0,1164,TA,5,1164,1950,1950,125000
952,840,1988.0,952,TA,5,952,1951,1951,139000
938,0,1980.0,2358,TA,8,684,1872,1987,122000
1680,540,1988.0,1680,Gd,6,880,1988,2007,222000
1221,672,2003.0,1912,TA,6,482,1905,2000,163000
1004,480,1970.0,1004,TA,6,1004,1970,1970,149000
774,305,1946.0,1230,TA,4,747,1946,1950,121600
1167,495,1972.0,1167,TA,5,915,1920,1950,144000
1301,440,1965.0,1301,Fa,5,1145,1924,1950,100000
1453,445,1986.0,1453,Gd,7,1453,1986,1986,190000
1601,670,2001.0,1601,Gd,8,1581,2001,2002,272000
1588,825,2006.0,1588,Gd,8,1588,2006,2006,227000
1095,264,1958.0,1095,TA,6,588,1958,1958,140000
1050,368,1961.0,1050,TA,5,1050,1961,1961,136500
960,432,1965.0,960,TA,4,960,1965,1965,94750
1002,280,1954.0,1456,TA,5,810,1948,1950,91500
1489,462,1968.0,1489,Gd,6,1489,1968,1968,185750
1726,786,2007.0,1726,Ex,7,1726,2007,2007,311872
1362,484,2003.0,2082,Gd,7,1362,2003,2003,200000
1339,484,1990.0,1339,TA,7,1309,1990,1990,180000
1310,1069,1998.0,2450,Gd,8,1284,1998,1998,340000
879,660,2006.0,1863,Gd,7,879,2006,2006,219210
768,396,1988.0,768,TA,5,768,1972,2007,133000
334,0,1980.0,334,Fa,1,0,1946,1950,39300
1136,384,1965.0,1136,TA,6,1136,1965,1965,140000
1337,405,1998.0,1337,TA,6,1237,1998,1998,153500
912,288,1964.0,912,TA,5,912,1964,1964,115000
876,264,1962.0,1812,TA,5,864,1962,1962,169500
1052,240,1939.0,2192,Gd,5,720,1939,1997,179500
658,0,1980.0,1184,TA,5,658,1910,1996,81000
964,308,1960.0,1889,TA,7,925,1910,1950,122000
1327,624,1974.0,1327,Gd,5,1063,1959,2002,150750
1422,576,1981.0,1422,Gd,6,1422,1981,1981,175500
1632,576,1967.0,1632,TA,5,1632,1967,1967,143000
1630,451,2000.0,1630,Gd,7,1630,2000,2001,213000
1013,0,1980.0,1526,Fa,3,1013,1915,1982,85000
1040,420,1956.0,1040,TA,4,0,1949,1950,90000
841,216,1920.0,1647,Fa,6,806,1915,1950,128000
1328,576,1981.0,1981,Gd,4,1122,1928,1950,135000
1644,418,1953.0,1644,TA,6,1416,1953,1953,167000
1482,868,2007.0,2574,Ex,8,1482,2007,2007,276000
1060,520,1940.0,1824,TA,6,764,1919,1950,180500
1350,520,1964.0,1350,TA,6,1248,1964,1964,168500
958,440,1976.0,958,TA,6,958,1976,1976,143750
1053,370,1922.0,1848,Gd,6,833,1923,2000,207000
1620,490,1993.0,1620,TA,4,1281,1976,1993,150000
1167,400,1992.0,1167,Gd,6,1158,1992,1992,173000
798,220,1949.0,1487,TA,6,735,1945,1950,113000
892,288,1967.0,892,TA,5,892,1967,1967,100000
804,240,1940.0,804,Gd,5,788,1940,1992,119000
1140,0,1980.0,1140,TA,5,1140,2006,2006,84500
983,483,1963.0,1796,TA,6,780,1963,1963,140000
1118,551,1976.0,2030,Gd,6,848,1976,1976,195000
1026,812,2008.0,2007,Ex,10,1017,2008,2008,310000
691,216,1920.0,691,Ex,5,691,1920,1950,86000
786,676,2008.0,1590,Gd,8,768,2008,2008,210000
1216,325,1954.0,1855,TA,6,994,1954,1972,136900
1028,442,1999.0,1804,Gd,7,994,1999,1999,189000
884,543,2003.0,1768,Gd,7,884,2003,2003,224900
1831,807,1995.0,3627,Gd,10,1930,1995,1996,625000
1298,403,1985.0,1298,Gd,6,1298,1985,1985,180000
1801,484,1959.0,1801,TA,7,1501,1959,1997,289000
630,0,1980.0,630,Ex,5,630,1970,1970,92000
1103,440,1976.0,1103,Gd,6,1103,1925,1980,110500
859,384,1964.0,1178,TA,4,859,1900,1950,102776
1196,440,1957.0,1196,TA,4,1196,1916,1990,109900
1372,529,2008.0,1372,Gd,7,1372,2007,2008,250580
1431,296,1962.0,1431,TA,6,1099,1962,1962,165000
1422,626,2004.0,1422,Gd,7,1422,2004,2004,179600
1079,501,1992.0,1953,Gd,6,1580,1992,1992,240000
1121,440,2003.0,1121,TA,4,1121,2003,2004,140000
1143,852,2004.0,2473,Gd,8,1143,2004,2005,317000
1057,576,1977.0,1057,TA,5,1057,1962,1962,132000
1110,602,1978.0,1110,Gd,5,1097,1978,1978,165500
1164,671,1999.0,2270,Gd,8,1152,1999,2007,290000
2018,746,2009.0,2018,Ex,9,2002,2008,2009,378500
672,440,1978.0,1386,TA,6,672,1978,1978,158900
1082,1043,2005.0,1953,Gd,8,1082,2005,2006,252000
1337,462,1993.0,1337,Gd,8,1337,1993,1993,180000
997,648,2000.0,2285,Gd,8,969,2000,2000,248000
1718,826,2007.0,1718,Gd,8,1705,2007,2008,297000
1086,484,1966.0,1086,TA,5,1024,1966,1966,159950
1555,660,2007.0,1555,Gd,7,1373,2007,2007,174000
1902,567,1959.0,1902,Ex,7,1902,1959,2002,335000
1298,693,1990.0,2514,TA,7,1216,1990,1991,250000
1224,528,1979.0,1224,TA,5,1086,1979,1979,153337
1054,460,1969.0,1054,TA,6,1054,1969,1969,151000
1276,676,1998.0,2612,Gd,8,1225,1998,1999,336000
902,288,1967.0,902,TA,5,876,1967,1967,125500
1153,484,1983.0,2353,Ex,7,845,1980,1980,260000
689,299,1977.0,1392,TA,6,689,1977,1977,161750
1155,576,1987.0,1155,Gd,5,1109,1961,1995,148000
1136,240,1950.0,1904,TA,5,1208,1950,1982,138000
950,208,1929.0,1158,TA,6,862,1929,1950,120000
751,502,1920.0,1362,TA,6,611,1920,1999,128000
1005,429,1999.0,2291,Gd,7,975,1999,1999,230000
649,250,1920.0,1317,TA,4,649,1920,1950,40000
1734,928,2007.0,1734,Ex,8,1734,2007,2007,318000
1194,312,1959.0,1194,TA,6,1194,1959,1959,148000
876,720,1949.0,1416,TA,5,876,1915,1950,153900
1383,354,1954.0,1383,TA,5,1383,1954,1954,165000
1001,871,1949.0,2002,TA,5,1001,1949,1950,145000
1496,474,2007.0,1496,Gd,8,1496,2007,2007,225000
984,660,1977.0,1604,TA,5,984,1941,1960,117000
764,504,1965.0,764,TA,5,680,1925,2004,73000
977,476,1985.0,1732,Gd,6,741,1985,1985,178000
1494,840,2006.0,1494,Gd,7,1494,2006,2007,279500
986,180,1926.0,986,TA,6,960,1926,1950,102000
1145,397,2005.0,1145,Gd,7,1145,2005,2006,160200
742,0,1980.0,1484,TA,6,742,1914,2001,128000
1344,525,1958.0,1344,Gd,6,819,1958,1958,137500
958,686,1983.0,1539,Gd,5,650,1904,2002,157500
1134,656,2005.0,2504,Ex,9,1122,2005,2007,325000
747,528,1953.0,747,TA,4,600,1926,1953,79900
1108,583,1998.0,2097,Gd,7,1108,1998,1998,274300
3138,884,2007.0,4676,Ex,10,3138,2007,2008,184750
786,624,1999.0,1176,TA,6,698,1937,2000,134900
720,0,1980.0,720,TA,4,720,1920,1950,34900
1580,830,2008.0,1580,Gd,8,1580,2007,2008,235128
1440,0,1980.0,1440,TA,4,1440,1977,1977,150000
738,540,2005.0,1476,Gd,6,738,2005,2005,173500
1500,570,2004.0,1500,Gd,7,1500,2004,2004,190000
884,216,1960.0,1348,TA,5,884,1925,1997,117000
1200,884,1977.0,1200,Gd,5,864,1965,1998,146000
1394,514,1963.0,1394,TA,6,1394,1963,1963,159000
800,484,1966.0,1632,Gd,6,800,1966,2000,173000
912,336,1974.0,912,TA,5,912,1967,1967,125000
1370,864,1918.0,2624,TA,6,1370,1918,1950,239000
1696,349,1962.0,1696,TA,5,1140,1962,1962,143900
682,440,1966.0,1230,TA,5,440,1910,1981,110000
1549,440,1932.0,2727,Gd,8,853,1932,1994,315000
728,429,2006.0,1456,TA,6,728,2006,2006,172785
864,660,1989.0,864,Gd,4,864,1970,1970,120500
970,380,2004.0,1709,Gd,6,970,2004,2006,130000
810,528,2001.0,1665,Gd,8,810,2001,2001,227000
1372,656,1993.0,2646,Gd,7,1347,1993,1993,260000
798,595,2003.0,1640,Gd,7,798,2003,2003,183000
1014,420,1920.0,1699,TA,3,978,1900,1970,95000
1663,529,1954.0,1663,Gd,4,1364,1954,1994,256000
1728,504,1963.0,1728,TA,5,1728,1963,1963,125000
1055,462,1992.0,1845,Gd,6,1055,1992,1992,189000
1020,440,1964.0,1851,Gd,6,822,1964,1993,187000
1489,776,2006.0,1489,Gd,8,1489,2006,2006,232600
864,300,2008.0,864,TA,6,864,1959,1959,127500
1256,276,1965.0,1256,TA,5,1256,1965,1965,147500
816,816,1985.0,816,TA,5,816,1982,2003,138000
902,492,1965.0,1820,Gd,7,864,1965,1988,201800
912,833,1991.0,2127,Gd,7,1104,1991,1991,238000
1065,461,1974.0,1065,TA,5,1065,1960,1960,126500
1200,312,1923.0,1200,TA,6,1200,1923,1950,125000
1208,632,2006.0,1208,Gd,7,1187,2006,2006,206000
1133,642,2005.0,2482,Gd,8,1094,2005,2006,281213
1720,527,1996.0,1720,Gd,7,1720,1996,1996,260400
840,0,1980.0,840,TA,5,672,1930,1950,87000
1294,496,1991.0,1294,Gd,6,1278,1991,1991,179200
1090,450,2005.0,1090,TA,5,1090,2005,2006,157000
1165,420,1998.0,2263,Gd,8,1141,1998,1998,258000
969,440,1975.0,969,TA,5,969,1975,1975,122000
894,1248,1994.0,894,TA,3,894,1935,1950,81000
1028,360,1927.0,1028,TA,5,1008,1927,1950,115000
979,492,1946.0,1958,TA,6,979,1946,1950,145000
1795,895,2007.0,1795,Gd,8,1795,2006,2007,147000
1940,606,2010.0,1940,Ex,9,1930,2009,2010,395192
1178,439,1973.0,1178,Gd,5,1176,1973,2000,157000
810,400,1934.0,1482,Fa,6,672,1925,1950,140000
1428,554,2008.0,1428,Ex,7,1417,2008,2008,227680
864,338,1972.0,864,TA,5,864,1972,1972,133500
616,200,1941.0,1111,TA,5,616,1941,1950,95000
680,420,1993.0,1470,TA,6,680,1993,1993,185000
1116,440,1962.0,1116,TA,6,1116,1962,1962,160000
864,288,1959.0,864,Gd,6,864,1959,1959,120000
1297,498,1954.0,1297,TA,5,1297,1954,1990,153000
1113,264,1950.0,1113,Gd,5,1113,1950,2007,147000
1501,577,1999.0,1501,Gd,7,1490,1999,1999,204000
764,614,2009.0,1547,Gd,7,756,2009,2009,215200
991,678,2004.0,1947,Gd,7,991,2004,2005,254900
1717,908,2006.0,1717,Gd,8,1709,2006,2006,255500
1052,440,1971.0,1052,TA,6,1010,1971,1971,155000
1127,455,1997.0,2013,TA,7,1117,1996,1997,269790
1266,388,2007.0,1266,Gd,7,1266,2007,2007,159895
1992,716,2005.0,2868,Ex,9,1992,2005,2006,556581
980,554,2000.0,2256,Gd,7,952,2000,2000,236000
1414,494,2004.0,1414,Gd,7,1414,2004,2004,185500
936,471,1994.0,1721,Gd,6,928,1994,1994,201000
811,434,1975.0,1552,TA,6,713,1975,1975,179900
698,528,1980.0,1128,TA,4,698,1920,1950,68400
1118,358,1977.0,1118,TA,6,1096,1977,1977,171000
1728,574,1976.0,1728,TA,6,1728,1976,1976,150900
1686,711,1994.0,2448,Gd,8,1629,1994,2005,402000
1473,452,1968.0,1473,Ex,5,1437,1968,2003,143000
1187,400,1990.0,1717,Gd,7,1156,1990,1991,187500
1166,400,2005.0,1166,Gd,7,856,2005,2005,190000
1370,484,2006.0,1370,Gd,8,1370,2006,2006,202500
1724,480,1967.0,1724,TA,6,1680,1967,1976,197900
970,380,2004.0,1709,Gd,7,970,2004,2004,130000
483,264,1971.0,987,TA,6,483,1971,1971,89500
901,216,1920.0,1802,TA,7,793,1920,1950,200100
1170,360,1932.0,2345,TA,6,952,1932,1950,239000
1068,264,1963.0,1068,TA,6,1059,1963,2003,154500
1617,533,1993.0,1617,Gd,6,1604,1993,1994,193000
1244,336,1957.0,1244,TA,6,1244,1957,1957,150000
1180,252,1922.0,1180,Fa,4,700,1922,1950,137500
520,480,2005.0,1223,Gd,7,600,2005,2005,147400
1686,612,1980.0,1686,TA,6,1686,1980,1980,207500
1646,800,2008.0,1646,Gd,8,1638,2007,2008,293077
1144,264,1961.0,1144,TA,5,864,1961,1983,131400
939,639,2006.0,1797,Gd,7,939,2006,2006,213500
1224,462,1962.0,1224,TA,4,0,1962,1962,101800
992,839,2000.0,1865,Gd,7,992,2000,2000,235000
1056,308,1958.0,1056,TA,5,1056,1958,1992,139000
1966,820,2009.0,3140,Ex,9,1926,2008,2009,485000
1212,492,1978.0,1212,TA,6,506,1977,1995,151000
1694,636,2004.0,1694,Gd,8,1686,2004,2005,307000
802,413,1997.0,1511,TA,6,802,1997,1997,185000
1057,246,1953.0,1057,Gd,5,1057,1953,2007,109000
1246,560,1971.0,2290,TA,4,777,1885,1950,122500
1377,786,1988.0,2183,Gd,7,1204,1988,1988,229000
1699,594,1990.0,3222,Gd,7,1673,1990,1990,320000
909,512,1996.0,1716,Gd,7,880,1996,1996,191000
1342,457,1967.0,1342,TA,6,1372,1967,1967,161500
1504,437,2005.0,1504,Gd,7,1346,2005,2006,191000
1053,648,2003.0,1992,Gd,8,1053,2003,2004,250000
624,462,1999.0,1252,Gd,7,600,1999,2000,160000
999,264,1963.0,999,Gd,5,999,1962,2001,132500
741,528,1966.0,1363,TA,4,622,1910,1950,125500
1165,490,1966.0,1165,TA,6,1127,1966,1966,174900
1668,702,2002.0,1668,Gd,9,1626,2002,2002,285000
1158,853,2005.0,2376,Gd,8,1158,2005,2006,325300
889,352,1940.0,1440,TA,5,540,1900,1950,79000
794,388,1997.0,1470,TA,6,794,1997,1997,177000
1541,532,2005.0,1541,Gd,7,1541,2005,2005,220000
1440,0,1980.0,1440,Fa,4,1440,1955,1955,118000
1146,438,2003.0,1146,Gd,7,868,2003,2003,187500
1494,481,1995.0,1494,Ex,8,1494,1995,1996,270000
1462,738,2004.0,2224,Ex,9,1462,2004,2005,350000
820,186,1921.0,1343,TA,5,731,1921,1950,154900
